Name,Longitude,Latitude
SKA017,21.40633,-30.642963
SKA018,21.430449,-30.651906
SKA020,21.4472571,-30.663055
SKA023,21.4578392,-30.674663
SKA024,21.4634453,-30.685568
SKA026,21.466419,-30.693932
SKA031,21.4215593,-30.70258
SKA034,21.4135728,-30.706149
SKA060,21.4052401,-30.712547
SKA105,21.533032,-30.723924
SKA107,21.3974997,-30.722426
SKA110,21.5105276,-30.734134
SKA111,21.4424172,-30.734251
SKA114,21.4498209,-30.738661
SKA115,21.4908526,-30.736857
SKA116,21.4602722,-30.742016
SKA117,21.4728481,-30.736715
SKA118,21.3946819,-30.753799
SKA119,21.3936716,-30.776987
SKA121,21.4064274,-30.80286
